2025-09-03 16:12:06 | INFO     | tts_utility | log_system_event:220 | System event: TTS logging system initialized
2025-09-03 16:12:06 | INFO     | tts_utility | log_system_event:219 | {"event": "system_client_init", "timestamp": "2025-09-03T16:12:06.131717", "message": "TTS client initialized", "data": {"config_path": "config_audiokit_dev_sf.ini", "endpoint": "asr-tts-ha.dev.sf.audiokit.mts-corp.ru:443", "ssl_enabled": "true"}}
2025-09-03 16:12:06 | INFO     | tts_utility | log_system_event:220 | System event: TTS client initialized
2025-09-03 16:12:06 | INFO     | tts_utility | log_system_event:219 | {"event": "system_connection_failed", "timestamp": "2025-09-03T16:12:06.132310", "message": "Failed to establish gRPC channel: Config file must contain 'connection' section", "data": {"endpoint": "asr-tts-ha.dev.sf.audiokit.mts-corp.ru:443", "duration_ms": 0.3628730773925781, "error": "Config file must contain 'connection' section"}}
2025-09-03 16:12:06 | INFO     | tts_utility | log_system_event:220 | System event: Failed to establish gRPC channel: Config file must contain 'connection' section
2025-09-03 16:12:07 | INFO     | tts_utility | log_system_event:219 | {"event": "system_client_init", "timestamp": "2025-09-03T16:12:07.160038", "message": "TTS client initialized", "data": {"config_path": "config_audiokit_dev_sf.ini", "endpoint": "asr-tts-ha.dev.sf.audiokit.mts-corp.ru:443", "ssl_enabled": "true"}}
2025-09-03 16:12:07 | INFO     | tts_utility | log_system_event:220 | System event: TTS client initialized
2025-09-03 16:12:07 | INFO     | tts_utility | log_system_event:219 | {"event": "system_connection_failed", "timestamp": "2025-09-03T16:12:07.160784", "message": "Failed to establish gRPC channel: Config file must contain 'connection' section", "data": {"endpoint": "asr-tts-ha.dev.sf.audiokit.mts-corp.ru:443", "duration_ms": 0.4107952117919922, "error": "Config file must contain 'connection' section"}}
2025-09-03 16:12:07 | INFO     | tts_utility | log_system_event:220 | System event: Failed to establish gRPC channel: Config file must contain 'connection' section
2025-09-03 16:12:08 | INFO     | tts_utility | log_system_event:219 | {"event": "system_client_init", "timestamp": "2025-09-03T16:12:08.191555", "message": "TTS client initialized", "data": {"config_path": "config_audiokit_dev_sf.ini", "endpoint": "asr-tts-ha.dev.sf.audiokit.mts-corp.ru:443", "ssl_enabled": "true"}}
2025-09-03 16:12:08 | INFO     | tts_utility | log_system_event:220 | System event: TTS client initialized
2025-09-03 16:12:08 | INFO     | tts_utility | log_system_event:219 | {"event": "system_connection_failed", "timestamp": "2025-09-03T16:12:08.192301", "message": "Failed to establish gRPC channel: Config file must contain 'connection' section", "data": {"endpoint": "asr-tts-ha.dev.sf.audiokit.mts-corp.ru:443", "duration_ms": 0.4150867462158203, "error": "Config file must contain 'connection' section"}}
2025-09-03 16:12:08 | INFO     | tts_utility | log_system_event:220 | System event: Failed to establish gRPC channel: Config file must contain 'connection' section
2025-09-03 16:12:09 | INFO     | tts_utility | log_system_event:219 | {"event": "system_custom_test_start", "timestamp": "2025-09-03T16:12:09.194768", "message": "Testing custom logging events", "data": {"test_type": "logging_features", "timestamp": 1756905129.194719, "custom_data": {"version": "1.0", "environment": "test"}}}
2025-09-03 16:12:09 | INFO     | tts_utility | log_system_event:220 | System event: Testing custom logging events
2025-09-03 16:12:09 | INFO     | tts_utility | log_auth_event:242 | {"event": "auth_test_auth", "timestamp": "2025-09-03T16:12:09.195646", "endpoint": "test_endpoint", "success": true, "details": "Simulated auth success"}
2025-09-03 16:12:09 | INFO     | tts_utility | log_auth_event:245 | Authentication test_auth succeeded for test_endpoint: Simulated auth success
2025-09-03 16:12:09 | ERROR    | tts_utility | log_auth_event:242 | {"event": "auth_test_auth_fail", "timestamp": "2025-09-03T16:12:09.195805", "endpoint": "test_endpoint", "success": false, "details": "Simulated auth failure"}
2025-09-03 16:12:09 | ERROR    | tts_utility | log_auth_event:245 | Authentication test_auth_fail failed for test_endpoint: Simulated auth failure
2025-09-03 16:12:09 | ERROR    | tts_utility | test_universal_logging:106 | Simulated error captured: Simulated error for logging test
2025-09-03 16:12:09 | INFO     | tts_utility | log_system_event:219 | {"event": "system_universal_test_complete", "timestamp": "2025-09-03T16:12:09.198548", "message": "Universal logging system test completed successfully", "data": {"total_test_cases": 3, "log_files_created": 2, "test_duration_seconds": 1.0067017078399658}}
2025-09-03 16:12:09 | INFO     | tts_utility | log_system_event:220 | System event: Universal logging system test completed successfully
